type_name,airport,rate,id
Medium off-road,longyearbyen,415,1
Light road,kulusuk,669,2
Light off-road,kulusuk,884,3
Light off-road,torshavn,210,4
Light off-road,reykjavik,399,5
Medium water,tingwall,130,6
Light road,kulusuk,592,7
Light road,torshavn,148,8
Medium off-road,nuuk,291,9
Medium water,torshavn,699,10
Light water,kulusuk,201,11
Light off-road,kulusuk,231,12
Light road,reykjavik,528,13
Light road,reykjavik,495,14
Medium off-road,tingwall,525,15
Medium off-road,longyearbyen,906,16
Light off-road,tingwall,194,17
Light water,reykjavik,422,18
Light water,nuuk,396,19
Light road,nuuk,638,20
